city,gender,school_name,school_type,caste_community,religion,quota,accommodation,source,parents_thought,reason_for_joining,student_goal,cutoff_12th,geographic_segment,academic_segment,socioeconomic_segment,distance_category,marketing_channel_type,parents_sentiment
Tiruppur,Female,Dharapuram HSS,Private CBSE,BC,Hindu,Government Counselling,Hostel,Alumni Reference,The campus environment seems conducive for focused technical studies.,Counselling,Higher Studies Masters,181,Local,Average,Mixed,Close,Other,Neutral
Karur,Female,Karur Matriculation School,Private CBSE,SC,Christian,Government Counselling,Hostel,Friend Family Referral,We were initially worried about hostel life but the warden system reassured us.,Counselling,Become an Entrepreneur,182,Local,Average,Mixed,Distant,Referral,Concerned
Erode,Female,Erode Public School,Private CBSE,BC,Hindu,Management,Day Scholar,Google Search,Good value for money considering the quality of engineering programs offered.,Interest,Become an Entrepreneur,187,Local,Average,Premium,Very Close,Digital,Positive
Thanjavur,Male,Government HSS Thanjavur,Government,MBC,Christian,Government Counselling,Hostel,School Counselor,The hostel option works well for our family situation.,Counselling,Higher Studies Masters,197,Regional,High Performer,Budget,Distant,Referral,Neutral
Coimbatore,Male,Sri Ramakrishna Mission School,Private CBSE,SC,Christian,Management,Hostel,TV Advertisement,The management fee was a stretch but the placement records justify the investment.,Interest,High Placement,195,Local,High Performer,Premium,Close,Traditional,Neutral
Karur,Female,Government HSS Karur,Government,MBC,Hindu,Government Counselling,Day Scholar,TV Advertisement,Strong industry connections and practical learning approach attracted us to BIT.,Counselling,Government Job,191,Local,High Performer,Budget,Distant,Traditional,Neutral
Karur,Male,GHI Matriculation Karur,Private CBSE,BC,Christian,Management,Day Scholar,Education Fair,Strong industry connections and practical learning approach attracted us to BIT.,Interest,Become an Entrepreneur,174,Local,Below Average,Premium,Distant,Traditional,Neutral
Erode,Female,Anna HSS Erode,Private CBSE,BCM,Muslim,Management,Day Scholar,Education Fair,The convenience of staying at home while getting quality education is ideal.,Interest,Higher Studies Masters,187,Local,Average,Premium,Very Close,Traditional,Neutral
Salem,Female,Municipal HSS Salem,Government,MBC,Christian,Government Counselling,Day Scholar,Education Fair,Good value for money considering the quality of engineering programs offered.,Counselling,Government Job,193,Local,High Performer,Budget,Close,Traditional,Positive
Erode,Male,Kongu Vellalar HSS,Private CBSE,BC,Christian,Government Counselling,Hostel,Social Media Ad,Alumni working in good companies gave positive feedback about the college.,Counselling,Higher Studies Masters,193,Local,High Performer,Mixed,Very Close,Digital,Positive
Chennai,Male,DAV School Chennai,Private Matriculation,BC,Christian,Management,Hostel,Alumni Reference,The fees were high but the infrastructure and faculty quality convinced us.,Interest,Higher Studies Masters,192,Metro,High Performer,Middle,Distant,Other,Positive
Bangalore,Male,Municipal HSS Bangalore,Government,SC,Hindu,Government Counselling,Day Scholar,School Counselor,Erode location provides good balance of facilities without big city distractions.,Counselling,Higher Studies Masters,185,Metro,Average,Budget,Distant,Referral,Positive
Karur,Female,Municipal HSS Karur,Government,BC,Hindu,Government Counselling,Hostel,Google Search,Alumni working in good companies gave positive feedback about the college.,Interest,Higher Studies Masters,191,Local,High Performer,Budget,Distant,Digital,Positive
Dindigul,Female,Dindigul Matriculation School,Private CBSE,SC,Christian,Management,Hostel,TV Advertisement,The campus environment seems safe and conducive for focused studies.,Counselling,High Placement,170,Regional,Below Average,Premium,Distant,Traditional,Neutral
Coimbatore,Female,CMPS School,Private Matriculation,MBC,Christian,Management,Day Scholar,Alumni Reference,The campus environment seems conducive for focused technical studies.,Interest,Government Job,194,Local,High Performer,Middle,Close,Other,Neutral
Dindigul,Female,ABC School Dindigul,Private CBSE,BC,Hindu,Management,Hostel,College Website,Alumni working in good companies gave positive feedback about the college.,Interest,Become an Entrepreneur,187,Regional,Average,Premium,Distant,Digital,Positive
Erode,Male,ABC Matriculation School Erode,Private CBSE,SC,Hindu,Management,Day Scholar,Social Media Ad,The convenience of staying at home while getting quality education is ideal.,Interest,High Placement,171,Local,Below Average,Premium,Very Close,Digital,Neutral
Erode,Male,Little Angels School,Private CBSE,OC,Christian,Government Counselling,Day Scholar,Friend Family Referral,The day scholar option works well for our family situation.,Interest,High Placement,193,Local,High Performer,Mixed,Very Close,Referral,Neutral
Salem,Female,Montfort HSS Salem,Private CBSE,BC,Hindu,Government Counselling,Hostel,Google Search,Erode location provides good balance of facilities without big city distractions.,Counselling,Become an Entrepreneur,184,Local,Average,Mixed,Close,Digital,Positive
Coimbatore,Female,KCG HSS,Private CBSE,MBC,Hindu,Government Counselling,Day Scholar,Education Fair,The convenience of staying at home while getting quality education is ideal.,Counselling,Higher Studies Masters,194,Local,High Performer,Mixed,Close,Traditional,Neutral
Tiruppur,Male,Dharapuram HSS,Private CBSE,OC,Hindu,Government Counselling,Hostel,Alumni Reference,The hostel option works well for our family situation.,Counselling,High Placement,186,Local,Average,Mixed,Close,Other,Neutral
Chennai,Male,Velammal HSS,Private Matriculation,BC,Christian,Management,Hostel,TV Advertisement,The academic reputation and placement statistics convinced us to choose BIT.,Counselling,Become an Entrepreneur,189,Metro,Average,Middle,Distant,Traditional,Positive
Madurai,Female,Sourashtra HSS,Private Matriculation,MBC,Hindu,Management,Hostel,TV Advertisement,The management fee was a stretch but the placement records justify the investment.,Counselling,Start Own Business,179,Regional,Below Average,Middle,Distant,Traditional,Neutral
Chennai,Male,SBOA School Chennai,Private CBSE,SC,Christian,Management,Hostel,Friend Family Referral,We heard about BIT through friend family referral and the reviews were positive.,Interest,Start Own Business,171,Metro,Below Average,Premium,Distant,Referral,Neutral
Erode,Male,Municipal HSS Erode,Government,OC,Christian,Government Counselling,Day Scholar,Alumni Reference,Erode location provides good balance of facilities without big city distractions.,Counselling,Higher Studies Masters,197,Local,High Performer,Budget,Very Close,Other,Positive
Coimbatore,Male,XYZ International School Coimbatore,Private CBSE,SC,Christian,Management,Hostel,Newspaper Ad,The fees were high but the infrastructure and faculty quality convinced us.,Counselling,Higher Studies Masters,188,Local,Average,Premium,Close,Other,Positive
Coimbatore,Male,St. Michaels HSS,Private CBSE,BC,Hindu,Government Counselling,Day Scholar,Education Fair,Strong industry connections and practical learning approach attracted us to BIT.,Counselling,High Placement,192,Local,High Performer,Mixed,Close,Traditional,Neutral
Karur,Male,Government HSS Karur,Government,MBC,Hindu,Government Counselling,Day Scholar,Campus Visit,Strong industry connections and practical learning approach attracted us to BIT.,Counselling,Become an Entrepreneur,185,Local,Average,Budget,Distant,Other,Neutral
Karur,Female,Municipal HSS Karur,Government,MBC,Hindu,Management,Hostel,College Website,The fees were high but the infrastructure and faculty quality convinced us.,Interest,High Placement,187,Local,Average,Budget,Distant,Digital,Positive
Tiruppur,Female,Dharapuram HSS,Private CBSE,MBC,Christian,Government Counselling,Day Scholar,Newspaper Ad,Erode location provides good balance of facilities without big city distractions.,Interest,Government Job,193,Local,High Performer,Mixed,Close,Other,Positive
Dindigul,Female,ABC School Dindigul,Private Matriculation,BCM,Muslim,Management,Hostel,College Website,The hostel option works well for our family situation.,Counselling,Become an Entrepreneur,174,Regional,Below Average,Middle,Distant,Digital,Neutral
Tiruppur,Male,GHI Public School Tiruppur,Private CBSE,SC,Christian,Government Counselling,Day Scholar,Education Fair,No hostel expenses and we can monitor the studies closely from home.,Counselling,Become an Entrepreneur,180,Local,Below Average,Mixed,Close,Traditional,Neutral
Tiruppur,Male,DEF Matriculation School Tiruppur,Private CBSE,SC,Christian,Management,Day Scholar,Alumni Reference,The day scholar option works well for our family situation.,Interest,Become an Entrepreneur,170,Local,Below Average,Premium,Close,Other,Neutral
Hyderabad,Male,Hyderabad Public School,Private Matriculation,OC,Christian,Government Counselling,Day Scholar,Education Fair,Erode location provides good balance of facilities without big city distractions.,Counselling,High Placement,193,Metro,High Performer,Middle,Distant,Traditional,Positive
Erode,Female,Kongu Vellalar HSS,Private CBSE,SC,Christian,Management,Day Scholar,TV Advertisement,We decided to invest in management quota considering the ROI through placements.,Interest,Become an Entrepreneur,175,Local,Below Average,Premium,Very Close,Traditional,Neutral
Tiruppur,Male,Kumaran Schools,Private Matriculation,OC,Christian,Government Counselling,Day Scholar,Social Media Ad,Alumni working in good companies gave positive feedback about the college.,Interest,Higher Studies Masters,194,Local,High Performer,Middle,Close,Digital,Positive
Coimbatore,Female,Lisieux HSS,Private CBSE,OC,Hindu,Government Counselling,Hostel,School Counselor,The hostel option works well for our family situation.,Counselling,High Placement,184,Local,Average,Mixed,Close,Referral,Neutral
Karur,Male,Karur CBSE School,Private CBSE,SC,Hindu,Management,Hostel,Social Media Ad,The management fee was a stretch but the placement records justify the investment.,Interest,Higher Studies Masters,195,Local,High Performer,Premium,Distant,Digital,Neutral
Salem,Male,Mettur HSS,Private Matriculation,BC,Christian,Government Counselling,Hostel,Google Search,Strong industry connections and practical learning approach attracted us to BIT.,Counselling,Government Job,198,Local,High Performer,Middle,Close,Digital,Neutral
Karur,Female,Karur CBSE School,Private CBSE,SC,Christian,Government Counselling,Day Scholar,Education Fair,The academic reputation and placement statistics convinced us to choose BIT.,Counselling,High Placement,185,Local,Average,Mixed,Distant,Traditional,Positive
Coimbatore,Male,Kumaraguru HSS,Private CBSE,OC,Christian,Management,Hostel,Friend Family Referral,The fees were high but the infrastructure and faculty quality convinced us.,Interest,High Placement,188,Local,Average,Premium,Close,Referral,Positive
Tiruppur,Male,Avinashilingam HSS,Private CBSE,MBC,Christian,Management,Day Scholar,TV Advertisement,We heard about BIT through tv advertisement and the reviews were positive.,Interest,Government Job,195,Local,High Performer,Premium,Close,Traditional,Neutral
Erode,Male,GHI International School Erode,Private CBSE,BC,Christian,Management,Day Scholar,Friend Family Referral,Erode location provides good balance of facilities without big city distractions.,Interest,Higher Studies Masters,188,Local,Average,Premium,Very Close,Referral,Positive
Vellore,Female,GHI Matriculation Vellore,Private Matriculation,SC,Hindu,Management,Day Scholar,School Counselor,The convenience of staying at home while getting quality education is ideal.,Interest,High Placement,177,Regional,Below Average,Middle,Distant,Referral,Neutral
Salem,Male,St. Josephs Salem,Private Matriculation,OC,Christian,Management,Day Scholar,College Website,We heard about BIT through college website and the reviews were positive.,Counselling,Become an Entrepreneur,184,Local,Average,Middle,Close,Digital,Neutral
Erode,Male,Sacred Heart HSS Erode,Private Matriculation,BCM,Muslim,Management,Day Scholar,TV Advertisement,Strong industry connections and practical learning approach attracted us to BIT.,Interest,Start Own Business,178,Local,Below Average,Middle,Very Close,Traditional,Neutral
Coimbatore,Female,XYZ International School Coimbatore,Private CBSE,OC,Hindu,Management,Hostel,Social Media Ad,Good hostel facilities and the mess food quality during our visit was satisfactory.,Interest,Higher Studies Masters,188,Local,Average,Premium,Close,Digital,Positive
